date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:34:29	72279/72279	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:36:39%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/10-5.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/10-5.jpg	(from https://www.estorefactory.com/portfolio/white-background-17/)
02:34:29	749/749	---M-Z	200	added ('OK')	application/rss+xml	etag:%22201d06a8770abe4ecf644070cf3b50c9-gzip%22	https://www.estorefactory.com/portfolio/white-background-17/feed/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/white-background-17/feed/index.html	(from https://www.estorefactory.com/portfolio/white-background-17/)
02:34:31	362/362	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:04:30%20GMT	https://www.estorefactory.com/portfolio/white-background-16/t.src	E:/Dawnloads/estore/www.estorefactory.com/portfolio/white-background-16/t.bcf.delayed	(from https://www.estorefactory.com/portfolio/white-background-16/)
02:34:32	36956/36956	---M-Z	410	error ('Gone')	text/html	date:Thu,%2013%20Apr%202023%2021:04:31%20GMT	https://www.estorefactory.com/portfolio/white-background-16/t.src/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/white-background-16/t.src/index.html	(from https://www.estorefactory.com/portfolio/white-background-16/)
02:34:32	362/362	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:04:32%20GMT	https://www.estorefactory.com/portfolio/white-background-15/t.src	E:/Dawnloads/estore/www.estorefactory.com/portfolio/white-background-15/t.src	(from https://www.estorefactory.com/portfolio/white-background-15/)
02:34:34	36956/36956	---M-Z	410	error ('Gone')	text/html	date:Thu,%2013%20Apr%202023%2021:04:32%20GMT	https://www.estorefactory.com/portfolio/white-background-15/t.src/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/white-background-15/t.src/index.html	(from https://www.estorefactory.com/portfolio/white-background-15/)
02:34:35	67412/67412	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:37:40%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/14-3.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/14-3.jpg	(from https://www.estorefactory.com/portfolio/white-background-15/)
02:34:35	749/749	---M-Z	200	added ('OK')	application/rss+xml	etag:%22201d06a8770abe4ecf644070cf3b50c9-gzip%22	https://www.estorefactory.com/portfolio/white-background-16/feed/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/white-background-16/feed/index.html	(from https://www.estorefactory.com/portfolio/white-background-16/)
02:34:36	362/362	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:04:35%20GMT	https://www.estorefactory.com/portfolio/white-background-13/t.src	E:/Dawnloads/estore/www.estorefactory.com/portfolio/white-background-13/t.src	(from https://www.estorefactory.com/portfolio/white-background-13/)
02:34:37	749/749	---M-Z	200	added ('OK')	application/rss+xml	etag:%22201d06a8770abe4ecf644070cf3b50c9-gzip%22	https://www.estorefactory.com/portfolio/white-background-15/feed/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/white-background-15/feed/index.html	(from https://www.estorefactory.com/portfolio/white-background-15/)
02:34:38	36956/36956	---M-Z	410	error ('Gone')	text/html	date:Thu,%2013%20Apr%202023%2021:04:37%20GMT	https://www.estorefactory.com/portfolio/white-background-13/t.src/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/white-background-13/t.src/index.html	(from https://www.estorefactory.com/portfolio/white-background-13/)
02:34:38	749/749	---M-Z	200	added ('OK')	application/rss+xml	etag:%22201d06a8770abe4ecf644070cf3b50c9-gzip%22	https://www.estorefactory.com/portfolio/white-background-13/feed/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/white-background-13/feed/index.html	(from https://www.estorefactory.com/portfolio/white-background-13/)
02:34:41	156193/156193	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2021:04:39%20GMT	https://www.estorefactory.com/portfolio/white-background-14/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/white-background-14/index.html	(from https://www.estorefactory.com/portfolios/?vp_filter=portfolio_category%3Awhite-background&vp_page=5)
02:34:41	156199/156199	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2021:04:39%20GMT	https://www.estorefactory.com/portfolio/white-background-12/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/white-background-12/index.html	(from https://www.estorefactory.com/portfolios/?vp_filter=portfolio_category%3Awhite-background&vp_page=5)
02:34:41	79578/79578	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:37:22%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/12-1-1-1280x1280.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/12-1-1-1280x1280.jpg	(from https://www.estorefactory.com/portfolios/?vp_filter=portfolio_category%3Awhite-background&vp_page=5)
02:34:41	120767/120767	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:38:03%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/18-3-1280x1280.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/18-3-1280x1280.jpg	(from https://www.estorefactory.com/portfolios/?vp_filter=portfolio_category%3Awhite-background&vp_page=5)
02:34:42	83369/83369	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:36:57%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/11-1-1-1280x1280.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/11-1-1-1280x1280.jpg	(from https://www.estorefactory.com/portfolios/?vp_filter=portfolio_category%3Awhite-background&vp_page=5)
02:34:44	156199/156199	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2021:04:43%20GMT	https://www.estorefactory.com/portfolio/white-background-11/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/white-background-11/index.html	(from https://www.estorefactory.com/portfolios/?vp_filter=portfolio_category%3Awhite-background&vp_page=5)
02:34:45	156199/156199	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2021:04:43%20GMT	https://www.estorefactory.com/portfolio/white-background-10/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/white-background-10/index.html	(from https://www.estorefactory.com/portfolios/?vp_filter=portfolio_category%3Awhite-background&vp_page=5)
02:34:45	162697/162697	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:36:24%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/10-1-1-1280x1280.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/10-1-1-1280x1280.jpg	(from https://www.estorefactory.com/portfolios/?vp_filter=portfolio_category%3Awhite-background&vp_page=5)
02:34:45	125293/125293	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:44:36%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/1-2-1-1280x1280.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/1-2-1-1280x1280.jpg	(from https://www.estorefactory.com/portfolios/?vp_filter=portfolio_category%3Awhite-background&vp_page=5)
02:34:46	63881/63881	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:36:32%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/10-3-1280x853.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/10-3-1280x853.jpg	(from https://www.estorefactory.com/portfolios/?vp_filter=portfolio_category%3Awhite-background&vp_page=5)
02:34:47	56318/56318	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:35:55%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/09-2-1280x853.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/09-2-1280x853.jpg	(from https://www.estorefactory.com/portfolios/?vp_filter=portfolio_category%3Awhite-background&vp_page=5)
02:34:48	156187/156187	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2021:04:46%20GMT	https://www.estorefactory.com/portfolio/white-background-1/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/white-background-1/index.html	(from https://www.estorefactory.com/portfolios/?vp_filter=portfolio_category%3Awhite-background&vp_page=5)
02:34:48	91454/91454	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:35:15%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/08-2-1280x853.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/08-2-1280x853.jpg	(from https://www.estorefactory.com/portfolios/?vp_filter=portfolio_category%3Awhite-background&vp_page=5)
02:34:50	349/349	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:04:50%20GMT	https://www.estorefactory.com/portfolio/page/6/t.src	E:/Dawnloads/estore/www.estorefactory.com/portfolio/page/6/t.bdb.delayed	(from https://www.estorefactory.com/portfolio/page/6/)
02:34:52	176013/176013	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2021:04:48%20GMT	https://www.estorefactory.com/portfolios/?vp_filter=portfolio_category%3Awhite-background&vp_page=6	E:/Dawnloads/estore/www.estorefactory.com/portfolios/index94db.html	(from https://www.estorefactory.com/portfolios/?vp_filter=portfolio_category%3Awhite-background&vp_page=5)
02:34:52	36943/36943	---M-Z	410	error ('Gone')	text/html	date:Thu,%2013%20Apr%202023%2021:04:50%20GMT	https://www.estorefactory.com/portfolio/page/6/t.src/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/page/6/t.src/index.html	(from https://www.estorefactory.com/portfolio/page/6/)
02:34:53	349/349	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:04:53%20GMT	https://www.estorefactory.com/portfolio/page/7/t.src	E:/Dawnloads/estore/www.estorefactory.com/portfolio/page/7/t.bdc.delayed	(from https://www.estorefactory.com/portfolio/page/7/)
02:34:55	36943/36943	---M-Z	410	error ('Gone')	text/html	date:Thu,%2013%20Apr%202023%2021:04:53%20GMT	https://www.estorefactory.com/portfolio/page/7/t.src/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/page/7/t.src/index.html	(from https://www.estorefactory.com/portfolio/page/7/)
02:34:55	212602/212602	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2021:04:53%20GMT	https://www.estorefactory.com/portfolio/page/8/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/page/8/index.html	(from https://www.estorefactory.com/portfolio/page/6/)
